"grant_title","id","organization","total_amount","group","Grant.start.date","start_month","start_day","start_year","rechazo"
"CHRYSLER-DODGE,RAM_4000",1,"24.8",4878,"high",24.8,2,4,2008,24.8
"NISSAN,TSURU_I",2,"22.2",5871,"high",22.2,8,3,2008,22.2
"NISSAN,TSURU_II",3,"21.4",36380,"high",21.4,11,12,2008,21.4
"NISSAN,ICHI_VAN2.4L",4,"20.3",5037,"high",20.3,3,11,2008,20.3
"CHRYSLER-DODGE,DART_K_TURBOCARGADO",5,"19.9",8280,"high",19.9,10,12,2008,19.9
"MAZDA,CX7_ESTATICO",6,"19.3",5109,"high",19.3,6,30,2008,19.3
"NISSAN,DATSUN",7,"19.1",8409,"high",19.1,9,24,2008,19.1
"FORD,F-350 5.4L",8,"19",8371,"high",19,10,29,2008,19
"VW,CARIBE",9,"18.9",14698,"high",18.9,11,16,2008,18.9
"VW,GOLF_1.6L",10,"18.9",21965,"high",18.9,10,28,2008,18.9
"GENERAL MOTORS,ASTRO_VAN_ESTATICO",11,"18.8",4673,"high",18.8,11,2,2008,18.8
"CHRYSLER-DODGE,D-150_PICK_UP",12,"18.5",5795,"high",18.5,11,2,2008,18.5
"CHRYSLER-DODGE,DART",13,"18.3",6153,"high",18.3,11,2,2008,18.3
"VW,ATLANTIC",14,"18.3",6867,"high",18.3,11,2,2008,18.3
"CHRYSLER-DODGE,SHADOW",15,"18.1",28358,"high",18.1,10,28,2008,18.1
"CHRYSLER-DODGE,SPIRIT",16,"17.5",22371,"high",17.5,11,10,2008,17.5
"VW,SEDAN",17,"17.4",175332,"high",17.4,11,13,2008,17.4
"CHRYSLER-DODGE,RAMCHARGER",18,"17.3",5523,"high",17.3,11,1,2008,17.3
"FORD,TOPAZ",19,"17.3",32319,"high",17.3,3,24,2008,17.3
"VW,COMBI_1.8L",20,"16.8",14328,"high",16.8,10,29,2008,16.8
"VW,JETTA",21,"16.8",41342,"high",16.8,11,4,2009,16.8
"NISSAN,TSUBAME",22,"16.7",7687,"high",16.7,10,1,2009,16.7
"GENERAL MOTORS,CAVALIER",23,"16.5",12834,"high",16.5,10,30,2009,16.5
"VW,COMBI_1.6L",24,"16.5",22154,"high",16.5,1,28,2009,16.5
"FORD,F-250_PICK_UP",25,"16.4",7397,"high",16.4,11,17,2009,16.4
"GENERAL MOTORS,OLDSMOBILE_CUTLASS",26,"16.1",14882,"high",16.1,5,13,2009,16.1
"GENERAL MOTORS,BUICK_CENTURY",27,"15.8",5440,"high",15.8,3,1,2009,15.8
"FORD,MUSTANG",28,"15.7",6946,"high",15.7,10,1,2009,15.7
"JEEP,COMPASS_4X4",29,"15.5",8115,"high",15.5,4,30,2009,15.5
"GENERAL MOTORS,C-20_PICK_UP",30,"15.1",5282,"high",15.1,3,18,2009,15.1
"FORD,GHIA",31,"15",7824,"low",15,11,4,2009,15
"VW,GOLF_1.8L",32,"15",27019,"low",15,6,19,2009,15
"CHRYSLER-DODGE,CARAVAN",33,"14.9",13499,"red",14.9,7,22,2009,14.9
"GENERAL MOTORS,ASTRA_2.2L_ESTATICO",34,"14.9",8227,"red",14.9,2,26,2009,14.9
"GENERAL MOTORS,CHEVY_POP",35,"14.7",15055,"red",14.7,7,28,2009,14.7
"GENERAL MOTORS,C-15_PICK_UP",36,"14.3",12303,"red",14.3,11,9,2009,14.3
"NISSAN,PICK_UP",37,"14.3",23648,"red",14.3,11,20,2009,14.3
"FORD,RANGER_PICK_UP",38,"14.2",12415,"red",14.2,11,6,2009,14.2
"GENERAL MOTORS,CHEVY_STATION_WAGON",39,"14",4800,"red",14,3,1,2009,14
"GENERAL MOTORS,MONZA",40,"13.5",44515,"red",13.5,10,9,2009,13.5
"VW,POINTER_STATION_WAGON",41,"13.5",19698,"red",13.5,10,27,2009,13.5
"FORD,GRAN_MARQUIS",42,"13.3",11552,"red",13.3,7,1,2009,13.3
"GENERAL MOTORS,CHEVY",43,"13.3",176762,"red",13.3,8,29,2009,13.3
"CHRYSLER-DODGE,ATOS_BY_DODGE",44,"13.1",40579,"red",13.1,3,2,2009,13.1
"GENERAL MOTORS,SILVERADO",45,"13.1",7435,"red",13.1,9,29,2009,13.1
"GENERAL MOTORS,SUBURBAN_5.7L",46,"13.1",22209,"red",13.1,1,1,2009,13.1
"NISSAN,CHASIS",47,"13.1",16214,"red",13.1,2,25,2009,13.1
"NISSAN,SENTRA_1.6L",48,"12.9",26616,"red",12.9,10,1,2009,12.9
"NISSAN,TSURU",49,"12.9",346071,"red",12.9,12,1,2009,12.9
"CHRYSLER-DODGE,D-350",50,"12.6",5788,"red",12.6,9,10,2009,12.6
"PONTIAC,SUNFIRE",51,"12.6",12797,"red",12.6,3,26,2009,12.6
"VW,POINTER_1.8",52,"12.5",178063,"red",12.5,5,18,2009,12.5
"FORD,MYSTIQUE",53,"12.4",5107,"red",12.4,6,23,2009,12.4
"GENERAL MOTORS,BLAZER",54,"12.3",7789,"red",12.3,11,21,2009,12.3
"NISSAN,SENTRA_GSR",55,"12.3",4719,"red",12.3,10,1,2009,12.3
"CHRYSLER-DODGE,RAM_VAN_1500 MOTOR V6",56,"12.2",10802,"red",12.2,11,10,2009,12.2
"FORD,F-150_PICK_UP",57,"12.1",25557,"red",12.1,11,6,2009,12.1
"FORD,ESCORT",58,"12",30173,"red",12,6,1,2009,12
"AUDI,AUDI_A3_1.8_T",59,"11.7",5711,"red",11.7,11,10,2009,11.7
"FORD,COURIER",60,"11.6",8321,"red",11.6,10,1,2009,11.6
"GENERAL MOTORS,CAVALIER_4CIL",61,"11.6",25422,"red",11.6,11,19,2009,11.6
"VW,POINTER_PICKUP_1.8",62,"11.6",5881,"red",11.6,11,19,2009,11.6
"FORD,F-350 5.OL",63,"11.5",6192,"red",11.5,11,19,2009,11.5
"JEEP,GRAN_CHEROKEE_8 CILINDROS",64,"11.5",11032,"red",11.5,11,19,2009,11.5
"FORD,CONTOUR",65,"11.3",8642,"red",11.3,11,19,2009,11.3
"GENERAL MOTORS,CHEVY_C2",66,"11.3",165397,"red",11.3,1,8,2009,11.3
"CHRYSLER-DODGE,NEON",67,"11.1",65460,"red",11.1,2,19,2009,11.1
"VW,GOLF_2L",68,"11.1",16388,"red",11.1,5,1,2009,11.1
"CHRYSLER-DODGE,STRATUS",69,"11",58483,"red",11,9,17,2009,11
"NISSAN,ALMERA",70,"11",7355,"red",11,11,10,2009,11
"FORD,EXPLORER_AWD",71,"10.8",5219,"red",10.8,12,1,2009,10.8
"GENERAL MOTORS,C-35",72,"10.6",28555,"red",10.6,11,11,2009,10.6
"MAZDA,CX7",73,"10.5",7131,"red",10.5,12,17,2009,10.5
"JEEP,CHEROKEE",74,"10.2",4561,"red",10.2,6,1,2009,10.2
"VW,DERBY",75,"10.2",45543,"red",10.2,11,13,2009,10.2
"FORD,FIESTA_IKON",76,"9.8",28168,"medium",9.8,10,22,2009,9.8
"NISSAN,URVAN 2.4L",77,"9.8",6418,"medium",9.8,3,1,2009,9.8
"CHRYSLER-DODGE,CIRRUS 6CIL",78,"9.7",6329,"medium",9.7,3,1,2009,9.7
"DESCONOCIDO,DESCONOCIDO",79,"9.6",230,"medium",9.6,10,26,2009,9.6
"NISSAN,QUEST",80,"9.6",5606,"medium",9.6,10,30,2009,9.6
"CHRYSLER-DODGE,VERNA_BY_DODGE",81,"9.5",14196,"medium",9.5,6,15,2009,9.5
"NISSAN,PLATINA",82,"9.5",96607,"medium",9.5,3,18,2009,9.5
"PEUGEOT,206_XR_1.6L",83,"9.3",12277,"medium",9.3,8,28,2009,9.3
"FORD,KA",84,"9.1",24094,"medium",9.1,9,21,2009,9.1
"GENERAL MOTORS,CORSA_HB",85,"9",33400,"medium",9,11,1,2009,9
"SEAT,CORDOBA_1.6",86,"8.9",11929,"medium",8.9,9,29,2009,8.9
"HONDA,CIVIC",87,"8.8",46171,"medium",8.8,10,15,2009,8.8
"RENAULT,KANGOO",88,"8.8",10062,"medium",8.8,11,4,2009,8.8
"CHRYSLER-DODGE,AVENGER 2.4L",89,"8.7",4667,"medium",8.7,11,1,2009,8.7
